case_id,replacement_id,theme,result,question,expected_points,answer,expected_sources,retrieved_sources,runtime_s,comment
CASE-035,,RSA,Correct,Mon employeur me rembourse des déplacements professionnels avec ma voiture personnelle. Est-ce que je dois déclarer ces remboursements ?,"Les remboursements de frais professionnels peuvent être exonérés s’ils correspondent à des frais réels ou sont utilisés conformément à leur objet.; Il faut vérifier kilométrage, barème, justificatifs et nature professionnelle des déplacements.; Ne pas confondre remboursement employeur et option personnelle pour frais réels.","Pour les déplacements professionnels (hors trajets domicile-travail), les indemnités kilométriques sont exonérées dans la limite du barème administratif. Au-delà, le surplus est imposable. Pour les trajets domicile-travail, les remboursements sont toujours imposables mais couverts par la déduction forfaitaire de 10% si vous y optez.",BOI-RSA-CHAMP-20-50-10-20; BOI-RSA-BASE-30-50-30-20,BOI-IR-BASE-10-10-10-40; BOI-IR-RICI-150-20; BOI-RSA-CHAMP-20-50-10-20; BOI-RSA-BASE-30-50-30-20; BOI-IR-DOMIC-10-20-20-50,182.46,Réponse exploitable
CASE-036,,RPPM,Correct,J’ai prêté de l’argent à une société dont je suis associé et elle me verse des intérêts. Dans quelle catégorie ces intérêts sont-ils imposés ?,"Les intérêts de créances, dépôts, cautionnements et comptes courants relèvent en principe des revenus de capitaux mobiliers, sauf rattachement à une activité professionnelle.; Il faut distinguer l’imposition du bénéficiaire de la déduction éventuelle dans la société.",Les intérêts perçus par un associé personne physique sur un prêt consenti à la société sont imposés dans la catégorie des revenus de capitaux mobiliers (RCM).,BOI-RPPM-RCM-10-10-40; BOI-RPPM-RCM-20-10-20-30,BOI-RPPM-RCM-20-10-20-70; BOI-RPPM-RCM-30-20-30; BOI-RPPM-RCM-30-30-20-10; BOI-RPPM-RCM-20-10-30-10; BOI-RPPM-RCM-10-10-40; BOI-RPPM-RCM-20-10-20-30; BOI-RPPM-PVBMI-30-20,172.42,Réponse exploitable
CASE-037,,RPPM,Correct,J’ai acheté 100 actions à 20 € puis 100 actions à 30 €. J’en revends 150 à 40 €. Comment déterminer le gain de cession si les titres sont fongibles ?,"Pour des titres fongibles acquis à des prix différents, la règle du prix moyen pondéré peut s’appliquer.; Calculer le prix moyen d’acquisition puis le gain sur les titres cédés.; Réserve sur frais, titres éligibles et régime applicable.",Le gain net de cession est de 2 250 €.,BOI-RPPM-PVBMI-20-10; BOI-RPPM-PVBMI-20-10-20-40; BOI-RPPM-PVBMI-20-10-10-10,BOI-RPPM-PVBMI-20-10-20-40; BOI-RPPM-PVBMI-20-20-20-20; BOI-RPPM-RCM-40-55; BOI-RPPM-PVBMI-20-10-20-10; BOI-RPPM-PVBMI-20-10-20-20,166.83,Réponse exploitable
CASE-038,,RPPM,Correct,Ma société m’a avancé de l’argent sur mon compte d’associé sans remboursement prévu. Est-ce que ça peut être considéré comme un revenu distribué ?,"Les avances, prêts ou acomptes consentis aux associés peuvent relever des revenus distribués sous conditions.; Il faut vérifier la réalité du prêt, les modalités de remboursement et la situation du compte.; Ne pas assimiler automatiquement tout prêt régulier à une distribution sans analyse.","Oui, une avance sur compte courant d'associé sans remboursement prévu peut être qualifiée de revenu distribué au sens de l'article 109.1.1° du CGI lorsque la société relève de l'IS et que l'avance constitue une appropriation de bénéfices (voir [1] et [4]).",BOI-RPPM-RCM-10-20-20-20,BOI-RPPM-RCM-10-20-20-10; BOI-RPPM-RCM-20-10-20-20; BOI-BIC-BASE-10-20-10; BOI-RPPM-RCM-10-20-30-30; BOI-RPPM-RCM-30-20-30; BOI-RPPM-RCM-30-10-10-40; BOI-RPPM-RCM-10-20-20-40,177.06,Réponse exploitable
CASE-039,,IS,Correct,Ma société à l’IS a fait un déficit cette année. Peut-elle l’utiliser sur les bénéfices des années suivantes ?,Les déficits des sociétés soumises à l’IS peuvent être reportés en avant selon les règles BOFiP.; Il faut vérifier les plafonds et conditions éventuels d’imputation.; Ne pas confondre avec report en arrière.,"Oui, une société soumise à l'IS peut reporter en avant son déficit sur les bénéfices futurs, sous réserve du plafonnement prévu à l'article 209 I du CGI.",BOI-IS-DEF-10-10; BOI-IS-DEF-10-30,BOI-IS-DEF-10-10; BOI-IS-DEF-20-30; BOI-IS-GPE-50-20-20-20; BOI-IS-DEF-10-30; BOI-IS-DEF-10-20; BOI-IS-DEF-20-20,112.61,Réponse exploitable
CASE-040,,IS,Correct,Ma société à l’IS a un déficit et elle avait payé de l’IS sur un bénéfice l’an dernier. Peut-elle demander un report en arrière ?,"Le report en arrière des déficits peut faire naître une créance sur le Trésor sous conditions.; Il faut vérifier le déficit éligible, l’exercice bénéficiaire, l’option et les modalités déclaratives.; Ne pas confondre avec report en avant.","Oui, une société à l'IS peut opter pour le report en arrière de son déficit sur le bénéfice de l'exercice précédent, dans la limite de 1 000 000 €, ce qui génère une créance sur le Trésor correspondant à l'excédent d'IS payé [1] [5].",BOI-IS-DEF-20-10; BOI-IS-DECLA-20-10-30,BOI-IS-DEF-20-10; BOI-IS-DEF-10-30; BOI-IS-DECLA-20-30; BOI-IS-DEF-20-20; BOI-IS-CHAMP-60-20-40,111.73,Réponse exploitable
CASE-041,,IS,Correct,Ma société a 4 500 000 € de charges financières nettes et un EBITDA fiscal ajusté de 12 000 000 €. Quelle limite de déduction faut-il examiner ?,"Identifier le dispositif de limitation des charges financières nettes.; Comparer le plafond fixe et le pourcentage de l’EBITDA fiscal ajusté si les conditions du dispositif sont réunies.; Réponse sous réserve des règles de groupe, sous-capitalisation et exclusions.",La limite de déduction à examiner est de 3 600 000 € (30 % de l'EBITDA fiscal de 12 000 000 €).,BOI-IS-BASE-35-40-10-10; BOI-IS-BASE-35-40-10-20,BOI-IS-BASE-35-40-10-20; BOI-IS-GPE-20-20-110; BOI-IS-BASE-35-40-20; BOI-IS-BASE-35-40-10-10,168.1,Réponse exploitable
CASE-042,,IF_CFE,Correct,"J’exploite un petit stand de glaces seulement en juillet et août, mais tous les étés. Est-ce que cette activité peut quand même être soumise à la CFE ?","La CFE suppose une activité exercée à titre habituel, professionnel et non salarié.; Une activité saisonnière peut remplir le critère d’habitude si elle se répète.; Il faut vérifier le caractère lucratif, professionnel, non salarié et les éventuelles exonérations.","Oui, une activité saisonnière de vente de glaces en juillet-août peut être soumise à la CFE si elle est exercée à titre habituel et dans un but lucratif, ce qui est présumé.",BOI-IF-CFE-10-20-20-10; BOI-IF-CFE-10-20-20-20,BOI-IF-CFE-10-20-20-20; BOI-IF-CFE-10-30-10-60; BOI-IF-CFE-10-30-40-40; BOI-IF-CFE-20-20-40-10; BOI-IF-CFE-10-20-20-30; BOI-IF-CFE-10-30-10-30,177.92,Réponse exploitable
CASE-043,REPL-CF-001,CF,Correct,"Pendant un contrôle fiscal, je découvre une erreur faite de bonne foi et je propose de la régulariser. Quel effet cela peut-il avoir sur les intérêts de retard ?",La régularisation en cours de contrôle peut atténuer les conséquences financières pour un contribuable de bonne foi.; Le BOFiP indique que cette procédure peut réduire les intérêts de retard.; Il faut vérifier les conditions de la procédure de régularisation et ne pas confondre avec une remise automatique des droits.,"Les intérêts de retard sont réduits de 30 % en cas de régularisation de bonne foi pendant un contrôle fiscal, sous réserve du paiement des droits et intérêts.",BOI-CF-IOR-20; BOI-CF-IOR-20-10,BOI-CF-IOR-20-10; BOI-CF-INF-10-10-20; BOI-CF-INF-10-10-10; BOI-REC-PREA-20-10-10; BOI-CF-INF-10-20-20,181.78,Remplacement même famille CF validé par run isolé.
CASE-044,,TVA,Correct,Je vends une machine à un client. Il me verse un acompte en décembre 2024 mais la livraison aura lieu en janvier 2025. Quand la TVA devient-elle exigible ?,"Pour une livraison de biens, il faut vérifier les règles BOFiP d'exigibilité applicables aux acomptes.; La réponse doit distinguer livraison de biens et prestation de services.; La date d'encaissement de l'acompte peut déclencher l'exigibilité selon les règles applicables.","La TVA est exigible en décembre 2024, au moment de l'encaissement de l'acompte.",BOI-TVA-BASE-20-10,BOI-TVA-LIQ-30-20-95; BOI-TVA-BASE-20-20; BOI-TVA-DED-40-10-20; BOI-TVA-BASE-20-40; BOI-TVA-SECT-90-20-20; BOI-TVA-BASE-20-10,161.39,Réponse exploitable
CASE-045,,IR,Correct,J’ai payé 2 400 € de frais de garde pour mon enfant de 4 ans. Comment savoir quelle partie ouvre droit à l’avantage fiscal ?,"Identifier le crédit d’impôt pour frais de garde des jeunes enfants hors du domicile.; Vérifier l’âge de l’enfant, les dépenses éligibles, les aides reçues et le plafond.; Calculer uniquement la base retenue et le crédit si les plafonds/taux BOFiP sont récupérés.","Les 2400 € de frais de garde sont entièrement éligibles au crédit d'impôt, donnant droit à un crédit de 1200 € (50% de 2400 €).",BOI-IR-RICI-300,BOI-RPPM-RCM-20-10-20-50; BOI-RPPM-PVBMI-20-10-20-10; BOI-IR-RICI-300; BOI-IR-LIQ-20-20-10-10; BOI-RPPM-RCM-30-20-10; BOI-RPPM-RCM-30-10-20-20; BOI-IR-LIQ-20-20-10-30,181.74,Réponse exploitable
CASE-046,,IR,Correct,J’ai payé une personne pour faire du ménage à mon domicile. Est-ce que ces dépenses peuvent donner droit à un avantage fiscal ?,"Identifier le crédit d’impôt pour emploi d’un salarié à domicile.; Vérifier la nature des services, le domicile, les plafonds et aides éventuelles.; Ne pas calculer sans montant, aides ou plafond applicable.","Oui, les dépenses de ménage à domicile peuvent ouvrir droit au crédit d'impôt pour l'emploi d'un salarié à domicile, sous réserve de remplir certaines conditions (emploi direct ou via un organisme agréé, résidence principale en France, non-membre du foyer fiscal, etc.).",BOI-IR-RICI-150,BOI-IR-RICI-150-10; BOI-IR-RICI-150; BOI-IR-RICI-150-20; BOI-IR-RICI-285,202.62,Réponse exploitable
CASE-047,,IR,Faux,Mon fils étudiant a travaillé l’été et a gagné 4 500 €. Est-ce que ces salaires sont imposables si je le rattache à mon foyer ?,"Les salaires des étudiants peuvent bénéficier d’une exonération dans une certaine limite sous conditions d’âge et d’activité.; Seule la fraction excédentaire éventuelle est imposable.; Vérifier l’âge, le statut étudiant et la limite applicable à l’année.","Oui, les salaires de 4 500 € sont imposables après abattement de 10 % pour frais professionnels, soit 4 050 € nets à intégrer au revenu du foyer.",BOI-RSA-CHAMP-20-50-50,BOI-IR-BASE-40; BOI-IR-PAS-20-20-10; BOI-IR-DOMIC-10-20-20-10; BOI-IR-CHAMP-20-20-20; BOI-IR-CHAMP-20-20-10; BOI-IR-BASE-20-30-20-20,216.07,Échec conservé dans le benchmark
CASE-048,,BA,Correct,Je suis agriculteur et mes recettes varient beaucoup d’une année à l’autre. Est-ce que le bénéfice imposable peut être calculé avec une moyenne ?,Identifier les règles applicables aux bénéfices agricoles et au régime concerné.; Le micro-BA utilise une moyenne triennale des recettes si les conditions du régime sont réunies.; Demander les recettes des années concernées et vérifier l’éligibilité.,"Oui, le bénéfice imposable peut être calculé en utilisant une moyenne triennale des recettes, que ce soit dans le cadre du régime micro-BA (abattement de 87 % sur la moyenne triennale des recettes) ou sur option pour les exploitants soumis à un régime réel d'imposition (moyenne triennale des bénéfices).",BOI-BA-REG-10-10; BOI-BA-BASE-15-10,BOI-BA-LIQ-20-20; BOI-BA-BASE-15-10; BOI-BA-LIQ-20-10; BOI-BA-BASE-20-10-10; BOI-BA-REG-10-20-20,202.27,Réponse exploitable
CASE-049,,RPPM,Correct,"J’ai reçu 6 000 € de dividendes d’une société française en 2024. Si je choisis l’imposition au barème, quel montant sera retenu après l’abattement ?","Les dividendes imposés au barème peuvent bénéficier d’un abattement de 40 % si les conditions sont remplies.; Pour 6 000 € de dividendes, l’abattement de 40 % représente 2 400 €.; Le montant retenu après abattement est donc 3 600 €, sous réserve d’éligibilité.","Après application de l'abattement de 40 %, le montant imposable des dividendes est de 3 600 €.",BOI-RPPM-RCM-20-10; BOI-RPPM-RCM-20-10-20-10; BOI-RPPM-RCM-20-10-30-10; BOI-RPPM-RCM-20-15,BOI-RPPM-RCM-20-10-30-10; BOI-RPPM-RCM-20-15; BOI-RPPM-RCM-20-10-30-30; BOI-RPPM-RCM-30-20-30,200.57,Réponse exploitable
CASE-050,,RPPM,Correct,"J’ai vendu des actions avec une perte en 2024, et j’ai aussi une plus-value sur d’autres actions. Est-ce que la perte peut réduire la plus-value ?","Identifier le régime d’imputation des moins-values sur plus-values de même nature.; Vérifier l’année de réalisation, la nature des titres et les règles de report éventuel.; Ne pas imputer sur des revenus d’une autre catégorie sans source.","Oui, la moins-value réalisée en 2024 sur des actions peut être imputée sur la plus-value réalisée la même année sur d'autres actions.",BOI-RPPM-PVBMI-20-10; BOI-RPPM-PVBMI-30-10,BOI-RPPM-PVBMI-20-10-40; BOI-RPPM-PVBMI-20-10-20-30; BOI-RPPM-PVBMI-20-20-10; BOI-RPPM-PVBMI-20-20-20-20; BOI-RPPM-PVBMI-20-10-20-10,199.85,Réponse exploitable
